gene,transcript,contrast,estimate,SE,df,t.ratio,p.value.corrected
FBgn0040340,FBtr0070169,down - up,-0.091717127,0.089372928,404,-1.026229412,0.983205239
FBgn0040340,FBtr0070169,control - up,-0.095904648,0.089611267,404,-1.070229795,0.978108747
FBgn0040340,FBtr0307182,down - control,0.210098002,0.086308196,404,2.434276359,0.268294686
FBgn0040340,FBtr0307182,down - up,0.166617779,0.086499382,404,1.926230847,0.595905652
FBgn0040340,FBtr0307182,control - up,-0.043480223,0.086774253,404,-0.501072858,0.999897494
FBgn0053082,FBtr0070174,down - control,-0.134725742,0.187801134,268,-0.717385137,0.979724771
FBgn0053082,FBtr0070174,down - up,-0.224135259,0.18773195,268,-1.193911103,0.839547575
FBgn0053082,FBtr0070174,control - up,-0.089409517,0.188162485,268,-0.475171855,0.996969743
FBgn0053082,FBtr0346795,down - control,0.0751203,0.185203527,268,0.405609446,0.998578969
FBgn0053082,FBtr0346795,down - up,0.090920797,0.185289049,268,0.490697088,0.996470831
FBgn0053082,FBtr0346795,control - up,0.015800497,0.186199261,268,0.084858,0.999999378
FBgn0003638,FBtr0070176,down - control,0.061211187,0.083265912,540,0.735129001,0.999873031
FBgn0003638,FBtr0070176,down - up,-0.034920123,0.083286167,540,-0.419278789,0.999999611
FBgn0003638,FBtr0070176,control - up,-0.09613131,0.083618181,540,-1.149646031,0.992184214
FBgn0003638,FBtr0070177,down - control,-0.119861614,0.083679915,540,-1.432382124,0.956728227
FBgn0003638,FBtr0070177,down - up,-0.02614711,0.083694356,540,-0.312411866,0.999999983
FBgn0003638,FBtr0070177,control - up,0.093714504,0.083970192,540,1.116044894,0.993915366
FBgn0003638,FBtr0070178,down - control,-0.187039294,0.084726052,540,-2.207577125,0.544822626
FBgn0003638,FBtr0070178,down - up,0.085535886,0.084918859,540,1.007266084,0.997514323
FBgn0003638,FBtr0070178,control - up,0.272575181,0.085063141,540,3.204386486,0.0630882
FBgn0003638,FBtr0305651,down - control,-0.07973438,0.084477832,540,-0.943849744,0.998620742
FBgn0003638,FBtr0305651,down - up,-0.021569084,0.084508511,540,-0.255229724,0.999999998
FBgn0003638,FBtr0305651,control - up,0.058165296,0.084760111,540,0.686234309,0.999935925
FBgn0040397,FBtr0113327,down - control,0.000293352,0.046550997,268,0.00630173,1
FBgn0040397,FBtr0113327,down - up,-0.056055441,0.04635152,268,-1.209354973,0.832078762
FBgn0040397,FBtr0113327,control - up,-0.056348793,0.046210287,268,-1.219399336,0.827128608
FBgn0040397,FBtr0331340,down - control,-0.101883205,0.041182837,268,-2.473923897,0.13561525
FBgn0040397,FBtr0331340,down - up,0.019634346,0.041373826,268,0.474559582,0.996988242
FBgn0040397,FBtr0331340,control - up,0.121517551,0.041289056,268,2.943093466,0.040825537
FBgn0040343,FBtr0070195,down - control,0.060388005,0.267944072,268,0.22537541,0.999919773
FBgn0040343,FBtr0070195,down - up,0.004915266,0.267919977,268,0.018346022,1
FBgn0040343,FBtr0070195,control - up,-0.055472739,0.268107239,268,-0.206905041,0.999947447
FBgn0040343,FBtr0310459,down - control,0.165986687,0.26784992,268,0.619700342,0.989525502
FBgn0040343,FBtr0310459,down - up,-0.032466707,0.267747847,268,-0.121258517,0.999996309
FBgn0040343,FBtr0310459,control - up,-0.198453394,0.268033337,268,-0.740405638,0.976685155
FBgn0040361,FBtr0070199,down - control,0.810165856,0.454416786,268,1.782869564,0.478576365
FBgn0040361,FBtr0070199,down - up,0.629540395,0.453978816,268,1.386717557,0.735032196
FBgn0040361,FBtr0070199,control - up,-0.180625462,0.455334016,268,-0.396687828,0.998723427
FBgn0040361,FBtr0310612,down - control,0.952903131,0.458073966,268,2.080238567,0.300791493
FBgn0040361,FBtr0310612,down - up,0.717824017,0.45694737,268,1.570911802,0.618458779
FBgn0040361,FBtr0310612,control - up,-0.235079115,0.460168743,268,-0.510854155,0.99573203
FBgn0040367,FBtr0070205,down - control,0.583822061,0.216705171,269,2.694084586,0.079744321
FBgn0040367,FBtr0070205,down - up,0.526421009,0.216435911,269,2.432225808,0.14893957
FBgn0040367,FBtr0070205,control - up,-0.057401052,0.219403968,269,-0.261622671,0.999832573
FBgn0040367,FBtr0342728,down - control,0.086862252,0.212561298,269,0.408645662,0.998527083
FBgn0040367,FBtr0342728,down - up,-0.131513862,0.212257791,269,-0.619594981,0.989534048
FBgn0040367,FBtr0342728,control - up,-0.218376115,0.213432087,269,-1.023164409,0.909899284
FBgn0025642,FBtr0070206,down - control,0.304206491,0.365617832,269,0.832034065,0.961344832
FBgn0025642,FBtr0070206,down - up,0.401623573,0.365743115,269,1.098102896,0.88185558
FBgn0025642,FBtr0070206,control - up,0.097417083,0.366251128,269,0.26598439,0.999818379
FBgn0025642,FBtr0342729,down - control,0.761395745,0.364979291,269,2.086134098,0.297659938
FBgn0025642,FBtr0342729,down - up,0.342223995,0.364731955,269,0.938289036,0.93622264
FBgn0025642,FBtr0342729,control - up,-0.41917175,0.365329256,269,-1.147380735,0.860978953
FBgn0024362,FBtr0070209,down - control,-0.085208617,0.127723258,269,-0.667134697,0.98535327
FBgn0024362,FBtr0070209,down - up,0.009364243,0.127688667,269,0.073336521,0.9999997
